,,2026-05-27 14:42:05,,,,,,,,,,,,,,,,,,,,,,,
STT,Mã Tour,Tên Tour,Ngày khởi hành,Ngày đóng chỗ,Tổng,Giữ chỗ,Đã bán,Còn lại,Giá,Giá chưa sale,Hoa hồng,Ghi chú,Link,,,,,,,,,,,,
34,FITTT_005548,JAPAN - FULL TRẢI NGHIỆM VÀNG - LỄ HỘI HOA HƯỚNG DƯƠNG 6N5Ð HCM - NHẬT BẢN,21/08/2026,21/08/2026,30,0,0,30,"34,400,000",,"2,000,000","21-Aug-2026 SGN-NRT VJ822 23:35 07:55
26-Aug-2026 KIX-SGN VJ829 09:30 13:00",https://tinyurl.com/2cpg5kqb,,,,,,,,,,,,
35,FIT_004916,JAPAN - FULL TRẢI NGHIỆM VÀNG - TOKYO - PHÚ SĨ - NAGOYA - KYOTA - OSAKA - LỄ HỘI HOA HƯỚNG DƯƠNG 6N5Ð HCM - NHẬT BẢN,25/08/2026,25/08/2026,25,0,0,25,"34,400,000",,"2,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 25.990.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/2922t92u,,,,,,,,,,,,
36,FIT_004593,JAPAN - FULL TRẢI NGHIỆM VÀNG - OSAKA - KYOTO - PHÚ SĨ - NAGOYA - TOKYO - LỄ HỘI HOA HƯỚNG DƯƠNG 6N5Ð HCM - NHẬT BẢN,26/08/2026,26/08/2026,30,0,0,30,"33,400,000",,"2,000,000","27-Aug-26 SGN-KIX VJ828 01:00 08:30
31-Aug-26 NRT-SGN VJ823 08:55 13:55",https://tinyurl.com/2yj577nl,,,,,,,,,,,,
37,FIT_004594,JAPAN - HCM - OSAKA - KYOTO - HAMMATSU - PHÚ SĨ - TOKYO 5N5Đ - LỄ 2.9 - NGÀY,28/08/2026,28/08/2026,30,0,0,30,"29,400,000",,"2,000,000","29-Aug-26 SGN-KIX VJ828 01:00 08:30
02-Sep-26 HND-SGN VJ821 02:00 06:10",https://tinyurl.com/26zplukr,,,,,,,,,,,,
38,FITTT_005549,JAPAN - FULL TRẢI NGHIỆM VÀNG - LỄ HỘI HOA HƯỚNG DƯƠNG 6N5Ð HCM - NHẬT BẢN,28/08/2026,28/08/2026,30,0,6,24,"33,400,000",,"2,000,000","28-Aug-2026 SGN-NRT VJ822 23:35 07:55
02-Sep-2026 KIX-SGN VJ829 09:30 13:00",https://tinyurl.com/26veag24,,,,,,,,,,,,
39,FIT_004917,JAPAN - FULL TRẢI NGHIỆM VÀNG - TOKYO - PHÚ SĨ - NAGOYA - KYOTA - OSAKA - LỄ HỘI HOA HƯỚNG DƯƠNG 6N5Ð HCM - NHẬT BẢN,29/08/2026,29/08/2026,25,0,0,25,"35,400,000",,"2,000,000","VN 306 T 30AUG 7 SGNNRT HK26 0025 0800
VN 321 T 03SEP 4 KIXSGN HK26 1000 1320",https://tinyurl.com/2yfoye3p,,,,,,,,,,,,
40,FIT_004919,JAPAN - FULL TRẢI NGHIỆM VÀNG - TOKYO - PHÚ SĨ - NAGOYA - KYOTA - OSAKA - LỄ HỘI HOA HƯỚNG DƯƠNG 6N5Ð - NHẬT BẢN,01/09/2026,01/09/2026,25,0,0,25,"35,400,000",,"2,000,000","VN 306 P 02SEP 3 SGNNRT HK26 0025 0800
VN 321 T 06SEP 7 KIXSGN HK26 1000 1320",https://tinyurl.com/24qfm7ct,,,,,,,,,,,,
41,FIT_004595,JAPAN - FULL TRẢI NGHIỆM VÀNG 5N5Ð HCM - NHẬT BẢN,02/09/2026,02/09/2026,30,0,0,30,"30,400,000",,"2,000,000","03-Sep-26 SGN-KIX VJ828 01:00 08:30
07-Sep-26 NRT-SGN VJ823 08:55 13:55",https://tinyurl.com/2488ohd9,,,,,,,,,,,,
42,FIT_004596,JAPAN - FULL TRẢI NGHIỆM VÀNG 5N5Ð HCM - NHẬT BẢN,09/09/2026,09/09/2026,30,0,0,30,"30,400,000",,"2,000,000","10-Sep-26 SGN-KIX VJ828 01:00 08:30
14-Sep-26 NRT-SGN VJ823 08:55 13:55",https://tinyurl.com/2atpx3vh,,,,,,,,,,,,
43,FIT_004921,JAPAN - 5N4Ð HCM - NHẬT BẢN,10/09/2026,10/09/2026,25,0,0,25,"500,001",,"2,000,000","VN 306 P 11SEP 5 SGNNRT HK26 0025 0800
VN 307 T 14SEP 1 NRTSGN HK26 0930 1325",,,,,,,,,,,,,
44,FIT_004597,JAPAN - 6N5Ð HCM - NHẬT BẢN,11/09/2026,11/09/2026,30,0,0,30,"500,001",,"2,000,000","12-Sep-26 SGN-KIX VJ828 01:00 08:30
16-Sep-26 HND-SGN VJ821 02:00 06:10",,,,,,,,,,,,,
45,FITTT_005550,JAPAN - FULL TRẢI NGHIỆM VÀNG 5N5Ð HCM - NHẬT BẢN,11/09/2026,11/09/2026,30,0,0,30,"31,400,000",,"2,000,000","11-Sep-2026 SGN-NRT VJ822 23:35 07:55
16-Sep-2026 KIX-SGN VJ829 09:30 13:00",https://tinyurl.com/28deppge,,,,,,,,,,,,
